Date,Holiday Name,ACT,NSW,NT,QLD,SA,TAS,VIC,WA
2020-06-08,Queen's Birthday,1,1,1,0,1,1,1,0
2020-08-03,Picnic Day,0,0,1,0,0,0,0,0
2020-10-05,Labour Day,1,1,0,0,1,0,0,0
2020-12-25,Christmas Day,1,1,1,1,1,1,1,1
2020-12-26,Boxing Day,1,1,1,1,1,1,1,1
2021-01-01,New Year's Day,1,1,1,1,1,1,1,1
2021-01-26,Australia Day,1,1,1,1,1,1,1,1
2021-03-01,Labour Day,0,0,0,0,0,0,0,1
2021-03-08,Canberra Day,1,0,0,0,0,0,0,0
2021-03-08,March Public Holiday,0,0,0,0,1,0,0,0
2021-03-08,Eight Hours Day,0,0,0,0,0,1,0,0
2021-03-08,Labour Day,0,0,0,0,0,0,1,0
2021-04-02,Good Friday,1,1,1,1,1,1,1,1
2021-04-03,Easter Eve,1,1,1,1,1,0,1,0
2021-04-04,Easter Sunday,1,1,0,0,0,0,1,0
2021-04-05,Easter Monday,1,1,1,1,1,1,1,1
2021-04-25,Anzac Day,1,1,1,1,1,1,1,1
2021-05-03,May Day,0,0,1,0,0,0,0,0
2021-05-03,Labour Day,0,0,0,1,0,0,0,0
2021-05-31,Reconciliation Day,1,0,0,0,0,0,0,0
2021-06-07,Western Australia Day,0,0,0,0,0,0,0,1
2021-06-14,Queen's Birthday,1,1,1,0,1,1,1,0
2021-08-02,Picnic Day,0,0,1,0,0,0,0,0
2021-10-04,Labour Day,1,1,0,0,1,0,0,0
2021-12-25,Christmas Day,1,1,1,1,1,1,1,1
2021-12-26,Boxing Day,1,1,1,1,1,1,1,1
2022-01-01,New Year's Day,1,1,1,1,1,1,1,1
2022-01-26,Australia Day,1,1,1,1,1,1,1,1
2022-03-07,Labour Day,0,0,0,0,0,0,0,1
2022-03-14,March Public Holiday,0,0,0,0,1,0,0,0
2022-03-14,Canberra Day,1,0,0,0,0,0,0,0
2022-03-14,Labour Day,0,0,0,0,0,0,1,0
2022-03-14,Eight Hours Day,0,0,0,0,0,1,0,0
2022-04-15,Good Friday,1,1,1,1,1,1,1,1
2022-04-16,Easter Eve,1,1,1,1,1,0,1,0
2022-04-17,Easter Sunday,1,1,0,0,0,0,1,1
2022-04-18,Easter Monday,1,1,1,1,1,1,1,1
2022-04-25,Anzac Day,1,1,1,1,1,1,1,1
2022-05-02,May Day,0,0,1,0,0,0,0,0
2022-05-02,Labour Day,0,0,0,1,0,0,0,0
2022-05-30,Reconciliation Day,1,0,0,0,0,0,0,0
2022-06-06,Western Australia Day,0,0,0,0,0,0,0,1
2022-06-13,Queen's Birthday,1,1,1,0,1,1,1,0
2022-08-01,Picnic Day,0,0,1,0,0,0,0,0
2022-09-22,National Day of Mourning,1,1,1,1,1,1,1,1
2022-10-03,Labour Day,1,1,0,0,1,0,0,0
2022-12-25,Christmas Day,1,1,1,1,1,1,1,1
2022-12-26,Boxing Day,1,1,1,1,1,1,1,1
2023-01-01,New Year's Day,1,1,1,1,1,1,1,1
